Panel A: First-Year College GPA,,,,,,
                                        ,(1),(2),(3),(4),(5),(6)
311450                                  ,,,,,,-0.421***
                                        ,,,,,,(0.091)
311455                                  ,,,,,,0.053
                                        ,,,,,,(0.065)
311457                                  ,,,,,,-0.531***
                                        ,,,,,,(0.084)
311458                                  ,,,,,,-0.419***
                                        ,,,,,,(0.074)
311460                                  ,,,,,,-0.745***
                                        ,,,,,,(0.163)
311473                                  ,,,,,,-0.028
                                        ,,,,,,(0.066)
311474                                  ,,,,,,-0.043
                                        ,,,,,,(0.107)
311483                                  ,,,,,,-0.338***
                                        ,,,,,,(0.077)
311484                                  ,,,,,,-0.051
                                        ,,,,,,(0.079)
311485                                  ,,,,,,-0.280*
                                        ,,,,,,(0.112)
311487                                  ,,,,,,-0.108
                                        ,,,,,,(0.066)
311492                                  ,,,,,,-0.048
                                        ,,,,,,(0.096)
311510                                  ,,,,,,-0.248***
                                        ,,,,,,(0.056)
311535                                  ,,,,,,-0.420***
                                        ,,,,,,(0.076)
311550                                  ,,,,,,0.074
                                        ,,,,,,(0.063)
311555                                  ,,,,,,-0.313***
                                        ,,,,,,(0.095)
311570                                  ,,,,,,-0.109*
                                        ,,,,,,(0.052)
311573                                  ,,,,,,0.075
                                        ,,,,,,(0.064)
311574                                  ,,,,,,0.193**
                                        ,,,,,,(0.068)
311578                                  ,,,,,,-0.012
                                        ,,,,,,(0.086)
311579                                  ,,,,,,0.081
                                        ,,,,,,(0.067)
311581                                  ,,,,,,-0.208***
                                        ,,,,,,(0.046)
311585                                  ,,,,,,0.117*
                                        ,,,,,,(0.057)
311586                                  ,,,,,,-0.220**
                                        ,,,,,,(0.073)
311590                                  ,,,,,,-0.201*
                                        ,,,,,,(0.086)
311595                                  ,,,,,,-0.073
                                        ,,,,,,(0.087)
311613                                  ,,,,,,-0.166**
                                        ,,,,,,(0.058)
311614                                  ,,,,,,-0.086
                                        ,,,,,,(0.081)
311615                                  ,,,,,,0.058
                                        ,,,,,,(0.078)
311622                                  ,,,,,,-0.202**
                                        ,,,,,,(0.071)
311625                                  ,,,,,,-0.059
                                        ,,,,,,(0.058)
311630                                  ,,,,,,-0.021
                                        ,,,,,,(0.042)
311640                                  ,,,,,,-0.022
                                        ,,,,,,(0.099)
319999                                  ,,,,,,-0.184**
                                        ,,,,,,(0.071)
335401                                  ,,,,,,-0.389**
                                        ,,,,,,(0.145)
335405                                  ,,,,,,-0.501***
                                        ,,,,,,(0.133)
970000                                  ,,,,,,0.129
                                        ,,,,,,(0.095)
999997                                  ,,,,,,0.230
                                        ,,,,,,(0.141)
rss                                     ,9240.471,8171.869,7805.988,7722.377,7720.688,5788.981
df_r                                    ,25253.000,25024.000,25022.000,25017.000,25013.000,20295.000
r2                                      ,0.132,0.225,0.260,0.268,0.268,0.335
F                                       ,375.407,598.006,701.196,523.955,433.467,35.760
N                                       ,25266.000,25036.000,25036.000,25036.000,25036.000,20578.000
