Panel C: First-to-Second Year Retention,,,,,,
                                        ,(1),(2),(3),(4),(5),(6)
                                        ,,,,,,(0.630)
311052                                  ,,,,,,-0.249
                                        ,,,,,,(0.399)
311054                                  ,,,,,,-0.408
                                        ,,,,,,(0.637)
311067                                  ,,,,,,-1.056
                                        ,,,,,,(0.656)
311069                                  ,,,,,,-0.987
                                        ,,,,,,(0.684)
311071                                  ,,,,,,-1.854***
                                        ,,,,,,(0.428)
311073                                  ,,,,,,-1.190**
                                        ,,,,,,(0.404)
311078                                  ,,,,,,-0.257
                                        ,,,,,,(0.633)
311079                                  ,,,,,,0.128
                                        ,,,,,,(0.630)
311120                                  ,,,,,,-0.979*
                                        ,,,,,,(0.394)
311165                                  ,,,,,,-0.682
                                        ,,,,,,(0.571)
311185                                  ,,,,,,0.607
                                        ,,,,,,(1.078)
311200                                  ,,,,,,-0.749
                                        ,,,,,,(0.621)
311231                                  ,,,,,,-0.248
                                        ,,,,,,(0.449)
311232                                  ,,,,,,-0.275
                                        ,,,,,,(0.412)
311250                                  ,,,,,,0.000
                                        ,,,,,,(.)
311252                                  ,,,,,,0.000
                                        ,,,,,,(.)
311255                                  ,,,,,,-0.784
                                        ,,,,,,(0.466)
311277                                  ,,,,,,-0.552
                                        ,,,,,,(0.365)
311280                                  ,,,,,,-1.873***
                                        ,,,,,,(0.483)
311290                                  ,,,,,,-0.938
                                        ,,,,,,(0.777)
311293                                  ,,,,,,-0.499
                                        ,,,,,,(1.018)
311300                                  ,,,,,,-1.757**
                                        ,,,,,,(0.585)
311303                                  ,,,,,,-0.967
                                        ,,,,,,(0.668)
311305                                  ,,,,,,-1.541**
                                        ,,,,,,(0.588)
311310                                  ,,,,,,-1.251**
                                        ,,,,,,(0.398)
311316                                  ,,,,,,-0.646
                                        ,,,,,,(0.779)
311320                                  ,,,,,,-1.167*
                                        ,,,,,,(0.531)
311321                                  ,,,,,,-0.751
                                        ,,,,,,(0.653)
311326                                  ,,,,,,-0.814
                                        ,,,,,,(0.456)
311330                                  ,,,,,,-1.226
                                        ,,,,,,(0.634)
311335                                  ,,,,,,0.000
                                        ,,,,,,(.)
311340                                  ,,,,,,-1.520**
                                        ,,,,,,(0.557)
